week,avg_bcf,max_bcf,min_bcf
2026-01-02,3225,3396,2896
2026-01-09,3079,3248,2867
2026-01-16,2888,2996,2747
2026-01-23,2680,2854,2514
2026-01-30,2490,2665,2260
2026-02-06,2344,2553,2047
2026-02-13,2193,2496,1874
2026-02-20,2025,2415,1742
2026-02-27,1929,2351,1608
2026-03-06,1865,2328,1496
2026-03-13,1836,2330,1425
2026-03-20,1815,2306,1396
2026-03-27,1811,2270,1406
2026-04-03,1824,2276,1386
2026-04-10,1862,2319,1412
2026-04-17,1926,2399,1461
2026-04-24,1989,2467,1512
2026-05-01,2066,2545,1589
2026-05-08,2150,2620,1668
2026-05-15,2242,2696,1757
2026-05-22,2339,2780,1842
2026-05-29,2440,2873,1930
2026-06-05,2535,2953,2029
2026-06-12,2608,3025,2116
2026-06-19,2683,3086,2192
2026-06-26,2747,3125,2268
2026-07-03,2798,3180,2328
2026-07-10,2843,3206,2378
2026-07-17,2873,3225,2405
2026-07-24,2899,3244,2428
2026-07-31,2922,3264,2470
2026-08-07,2955,3266,2506
2026-08-14,2984,3289,2536
2026-08-21,3017,3324,2596
2026-08-28,3054,3343,2655
2026-09-04,3106,3376,2716
2026-09-11,3180,3428,2800
2026-09-18,3256,3497,2903
2026-09-25,3336,3553,3014
2026-10-02,3432,3630,3142
2026-10-09,3522,3710,3263
2026-10-16,3609,3796,3357
2026-10-23,3686,3871,3425
2026-10-30,3747,3912,3524
2026-11-06,3787,3960,3598
2026-11-13,3802,3970,3621
2026-11-20,3778,3968,3541
2026-11-27,3738,3946,3477
2026-12-04,3642,3801,3448
2026-12-11,3537,3658,3387
2026-12-18,3428,3556,3264
2026-12-25,3316,3484,3049
